[2026-01-25T19:15:09.442+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T17:00:00+00:00 [queued]>
[2026-01-25T19:15:09.448+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T17:00:00+00:00 [queued]>
[2026-01-25T19:15:09.449+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 2
[2026-01-25T19:15:09.458+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 17:00:00+00:00
[2026-01-25T19:15:09.469+0000] {standard_task_runner.py:60} INFO - Started process 50306 to run task
[2026-01-25T19:15:09.475+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'scheduled__2026-01-25T17:00:00+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmpkq4scycu']
[2026-01-25T19:15:09.477+0000] {standard_task_runner.py:88} INFO - Job 32: Subtask fetch_and_store_swaps
[2026-01-25T19:15:09.523+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T17:00:00+00:00 [running]> on host f2da44f39545
[2026-01-25T19:15:09.580+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='the_graph_uniswap_v3_swaps' AIRFLOW_CTX_TASK_ID='fetch_and_store_swaps' AIRFLOW_CTX_EXECUTION_DATE='2026-01-25T17:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-25T17:00:00+00:00'
[2026-01-25T19:15:09.593+0000] {logging_mixin.py:188} INFO - Incremental run: Last record at 2026-01-14 01:00:11. Fetching new swaps...
[2026-01-25T19:15:09.593+0000] {logging_mixin.py:188} INFO - Fetching swaps from 2026-01-14 01:00:12 to 2026-01-25 19:15:09.593927
[2026-01-25T19:15:10.842+0000] {logging_mixin.py:188} INFO - [19:15:10] Fetched 1000 swaps from token0_in (Total: 1000)
[2026-01-25T19:15:12.203+0000] {logging_mixin.py:188} INFO - [19:15:12] Fetched 1000 swaps from token0_in (Total: 2000)
[2026-01-25T19:15:13.555+0000] {logging_mixin.py:188} INFO - [19:15:13] Fetched 1000 swaps from token0_in (Total: 3000)
[2026-01-25T19:15:15.422+0000] {logging_mixin.py:188} INFO - [19:15:15] Fetched 1000 swaps from token0_in (Total: 4000)
[2026-01-25T19:15:17.097+0000] {logging_mixin.py:188} INFO - [19:15:17] Fetched 1000 swaps from token0_in (Total: 5000)
[2026-01-25T19:15:18.927+0000] {logging_mixin.py:188} INFO - [19:15:18] Fetched 1000 swaps from token0_in (Total: 6000)
[2026-01-25T19:15:20.910+0000] {logging_mixin.py:188} INFO - [19:15:20] Fetched 1000 swaps from token0_in (Total: 7000)
[2026-01-25T19:15:22.611+0000] {logging_mixin.py:188} INFO - [19:15:22] Fetched 1000 swaps from token0_in (Total: 8000)
[2026-01-25T19:15:24.227+0000] {logging_mixin.py:188} INFO - [19:15:24] Fetched 1000 swaps from token0_in (Total: 9000)
[2026-01-25T19:15:26.336+0000] {logging_mixin.py:188} INFO - [19:15:26] Fetched 1000 swaps from token0_in (Total: 10000)
[2026-01-25T19:15:27.990+0000] {logging_mixin.py:188} INFO - [19:15:27] Fetched 1000 swaps from token0_in (Total: 11000)
[2026-01-25T19:15:29.801+0000] {logging_mixin.py:188} INFO - [19:15:29] Fetched 1000 swaps from token0_in (Total: 12000)
[2026-01-25T19:15:31.715+0000] {logging_mixin.py:188} INFO - [19:15:31] Fetched 1000 swaps from token0_in (Total: 13000)
[2026-01-25T19:15:33.449+0000] {logging_mixin.py:188} INFO - [19:15:33] Fetched 1000 swaps from token0_in (Total: 14000)
[2026-01-25T19:15:35.040+0000] {logging_mixin.py:188} INFO - [19:15:35] Fetched 1000 swaps from token0_in (Total: 15000)
