[2026-01-25T18:09:01.064+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [queued]>
[2026-01-25T18:09:01.076+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [queued]>
[2026-01-25T18:09:01.077+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 2
[2026-01-25T18:09:01.096+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:00:00+00:00
[2026-01-25T18:09:01.113+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'scheduled__2026-01-25T16:00:00+00:00', '--job-id', '24', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmpqw68qu3y']
[2026-01-25T18:09:01.111+0000] {standard_task_runner.py:60} INFO - Started process 60521 to run task
[2026-01-25T18:09:01.116+0000] {standard_task_runner.py:88} INFO - Job 24: Subtask fetch_and_store_swaps
[2026-01-25T18:09:01.199+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [running]> on host f2da44f39545
[2026-01-25T18:09:01.256+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='the_graph_uniswap_v3_swaps' AIRFLOW_CTX_TASK_ID='fetch_and_store_swaps' AIRFLOW_CTX_EXECUTION_DATE='2026-01-25T16:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-25T16:00:00+00:00'
[2026-01-25T18:09:01.263+0000] {logging_mixin.py:188} INFO - Incremental run: Last record at 2025-12-15 18:10:47. Fetching new swaps...
[2026-01-25T18:09:01.264+0000] {logging_mixin.py:188} INFO - Fetching swaps from 2025-12-15 18:10:48 to 2026-01-25 18:09:01.264327
[2026-01-25T18:09:02.472+0000] {logging_mixin.py:188} INFO - [18:09:02] Fetched 1000 swaps from token0_in (Total: 1000)
[2026-01-25T18:09:04.598+0000] {logging_mixin.py:188} INFO - [18:09:04] Fetched 1000 swaps from token0_in (Total: 2000)
[2026-01-25T18:09:06.063+0000] {logging_mixin.py:188} INFO - [18:09:06] Fetched 1000 swaps from token0_in (Total: 3000)
[2026-01-25T18:09:07.832+0000] {logging_mixin.py:188} INFO - [18:09:07] Fetched 1000 swaps from token0_in (Total: 4000)
[2026-01-25T18:09:09.564+0000] {logging_mixin.py:188} INFO - [18:09:09] Fetched 1000 swaps from token0_in (Total: 5000)
[2026-01-25T18:09:11.284+0000] {logging_mixin.py:188} INFO - [18:09:11] Fetched 1000 swaps from token0_in (Total: 6000)
[2026-01-25T18:09:13.271+0000] {logging_mixin.py:188} INFO - [18:09:13] Fetched 1000 swaps from token0_in (Total: 7000)
[2026-01-25T18:09:15.504+0000] {logging_mixin.py:188} INFO - [18:09:15] Fetched 1000 swaps from token0_in (Total: 8000)
[2026-01-25T18:09:18.173+0000] {logging_mixin.py:188} INFO - [18:09:18] Fetched 1000 swaps from token0_in (Total: 9000)
[2026-01-25T18:09:19.831+0000] {logging_mixin.py:188} INFO - [18:09:19] Fetched 1000 swaps from token0_in (Total: 10000)
[2026-01-25T18:09:21.587+0000] {logging_mixin.py:188} INFO - [18:09:21] Fetched 1000 swaps from token0_in (Total: 11000)
[2026-01-25T18:09:23.297+0000] {logging_mixin.py:188} INFO - [18:09:23] Fetched 1000 swaps from token0_in (Total: 12000)
[2026-01-25T18:09:24.942+0000] {logging_mixin.py:188} INFO - [18:09:24] Fetched 1000 swaps from token0_in (Total: 13000)
[2026-01-25T18:09:26.822+0000] {logging_mixin.py:188} INFO - [18:09:26] Fetched 1000 swaps from token0_in (Total: 14000)
[2026-01-25T18:09:28.990+0000] {logging_mixin.py:188} INFO - [18:09:28] Fetched 1000 swaps from token0_in (Total: 15000)
[2026-01-25T18:09:30.545+0000] {logging_mixin.py:188} INFO - [18:09:30] Fetched 1000 swaps from token0_in (Total: 16000)
[2026-01-25T18:09:32.318+0000] {logging_mixin.py:188} INFO - [18:09:32] Fetched 1000 swaps from token0_in (Total: 17000)
[2026-01-25T18:09:34.105+0000] {logging_mixin.py:188} INFO - [18:09:34] Fetched 1000 swaps from token0_in (Total: 18000)
[2026-01-25T18:09:36.426+0000] {logging_mixin.py:188} INFO - [18:09:36] Fetched 1000 swaps from token0_in (Total: 19000)
[2026-01-25T18:09:38.713+0000] {logging_mixin.py:188} INFO - [18:09:38] Fetched 1000 swaps from token0_in (Total: 20000)
[2026-01-25T18:09:41.015+0000] {logging_mixin.py:188} INFO - [18:09:41] Fetched 1000 swaps from token0_in (Total: 21000)
[2026-01-25T18:09:43.027+0000] {logging_mixin.py:188} INFO - [18:09:43] Fetched 1000 swaps from token0_in (Total: 22000)
[2026-01-25T18:09:45.041+0000] {logging_mixin.py:188} INFO - [18:09:45] Fetched 1000 swaps from token0_in (Total: 23000)
[2026-01-25T18:09:46.729+0000] {logging_mixin.py:188} INFO - [18:09:46] Fetched 1000 swaps from token0_in (Total: 24000)
[2026-01-25T18:09:48.440+0000] {logging_mixin.py:188} INFO - [18:09:48] Fetched 1000 swaps from token0_in (Total: 25000)
[2026-01-25T18:09:50.130+0000] {logging_mixin.py:188} INFO - [18:09:50] Fetched 1000 swaps from token0_in (Total: 26000)
[2026-01-25T18:09:51.917+0000] {logging_mixin.py:188} INFO - [18:09:51] Fetched 1000 swaps from token0_in (Total: 27000)
[2026-01-25T18:09:53.566+0000] {logging_mixin.py:188} INFO - [18:09:53] Fetched 1000 swaps from token0_in (Total: 28000)
[2026-01-25T18:09:55.310+0000] {logging_mixin.py:188} INFO - [18:09:55] Fetched 1000 swaps from token0_in (Total: 29000)
[2026-01-25T18:09:57.017+0000] {logging_mixin.py:188} INFO - [18:09:57] Fetched 1000 swaps from token0_in (Total: 30000)
[2026-01-25T18:09:58.701+0000] {logging_mixin.py:188} INFO - [18:09:58] Fetched 1000 swaps from token0_in (Total: 31000)
[2026-01-25T18:10:00.429+0000] {logging_mixin.py:188} INFO - [18:10:00] Fetched 1000 swaps from token0_in (Total: 32000)
[2026-01-25T18:10:02.583+0000] {logging_mixin.py:188} INFO - [18:10:02] Fetched 1000 swaps from token0_in (Total: 33000)
[2026-01-25T18:10:04.939+0000] {logging_mixin.py:188} INFO - [18:10:04] Fetched 1000 swaps from token0_in (Total: 34000)
[2026-01-25T18:10:06.958+0000] {logging_mixin.py:188} INFO - [18:10:06] Fetched 1000 swaps from token0_in (Total: 35000)
[2026-01-25T18:10:08.858+0000] {logging_mixin.py:188} INFO - [18:10:08] Fetched 1000 swaps from token0_in (Total: 36000)
[2026-01-25T18:10:11.238+0000] {logging_mixin.py:188} INFO - [18:10:11] Fetched 1000 swaps from token0_in (Total: 37000)
[2026-01-25T18:10:13.283+0000] {logging_mixin.py:188} INFO - [18:10:13] Fetched 1000 swaps from token0_in (Total: 38000)
[2026-01-25T18:10:14.655+0000] {logging_mixin.py:188} INFO - [18:10:14] Fetched 1000 swaps from token0_in (Total: 39000)
[2026-01-25T18:10:16.631+0000] {logging_mixin.py:188} INFO - [18:10:16] Fetched 1000 swaps from token0_in (Total: 40000)
[2026-01-25T18:10:18.500+0000] {logging_mixin.py:188} INFO - [18:10:18] Fetched 1000 swaps from token0_in (Total: 41000)
[2026-01-25T18:10:20.056+0000] {logging_mixin.py:188} INFO - [18:10:20] Fetched 1000 swaps from token0_in (Total: 42000)
[2026-01-25T18:10:22.284+0000] {logging_mixin.py:188} INFO - [18:10:22] Fetched 1000 swaps from token0_in (Total: 43000)
